BASKET_NUM,COMMODITY
36340,BAKERY
82979,BAKERY
9803,BAKERY
4615,BAKERY
11877,BAKERY
20623,BAKERY
29202,BAKERY
34894,BAKERY
79571,BAKERY
19286,BAKERY
59321,BAKERY
5936,BAKERY
51919,BAKERY
85186,BAKERY
13750,BAKERY
30334,BAKERY
83879,BAKERY
38821,BAKERY
44642,BAKERY
81306,BAKERY
78592,BAKERY
47119,BAKERY
43639,BAKERY
77053,BAKERY
6137,BAKERY
18475,BAKERY
34719,BAKERY
27078,BAKERY
30858,BAKERY
10402,BAKERY
23572,BAKERY
22001,BAKERY
15115,BAKERY
36453,BAKERY
16326,BAKERY
51714,BAKERY
51110,BAKERY
36132,BAKERY
26187,BAKERY
37330,BAKERY
36340,BAKERY
82979,BAKERY
9803,BAKERY
4615,BAKERY
11877,BAKERY
20623,BAKERY
29202,BAKERY
34894,BAKERY
79571,BAKERY
19286,BAKERY
59321,BAKERY
5936,BAKERY
51919,BAKERY
85186,BAKERY
13750,BAKERY
30334,BAKERY
83879,BAKERY
38821,BAKERY
44642,BAKERY
81306,BAKERY
78592,BAKERY
47119,BAKERY
43639,BAKERY
77053,BAKERY
6137,BAKERY
18502,CANNED GOODS
69840,CANNED GOODS
37952,CANNED GOODS
20855,CANNED GOODS
35563,CANNED GOODS
75326,CANNED GOODS
19457,CANNED GOODS
70607,CANNED GOODS
65818,CANNED GOODS
64003,CANNED GOODS
21138,CANNED GOODS
28436,CANNED GOODS
17066,CANNED GOODS
8856,CANNED GOODS
54727,CANNED GOODS
20096,CANNED GOODS
24215,CANNED GOODS
79513,CANNED GOODS
27056,CANNED GOODS
82313,CANNED GOODS
32622,CANNED GOODS
54901,CANNED GOODS
74505,CANNED GOODS
14225,CANNED GOODS
69030,CANNED GOODS
54855,CANNED GOODS
43192,CANNED GOODS
61656,CANNED GOODS
52376,CANNED GOODS
12316,CANNED GOODS
35376,CANNED GOODS
67704,CANNED GOODS
23108,CANNED GOODS
8671,CANNED GOODS
69420,CANNED GOODS
71335,CANNED GOODS
63008,CANNED GOODS
46755,CANNED GOODS
65327,CANNED GOODS
48914,CANNED GOODS
38106,CANNED GOODS
27817,CANNED GOODS
13387,CANNED GOODS
66719,CANNED GOODS
69716,CANNED GOODS
66443,CANNED GOODS
73203,CANNED GOODS
18460,CANNED GOODS
37803,CANNED GOODS
51197,CANNED GOODS
69375,CANNED GOODS
23537,CANNED GOODS
3443,CANNED GOODS
13053,CANNED GOODS
69743,CANNED GOODS
14639,CANNED GOODS
49113,CANNED GOODS
74319,CANNED GOODS
73761,CANNED GOODS
27464,CANNED GOODS
53014,CANNED GOODS
70017,CANNED GOODS
53389,CANNED GOODS
79383,CANNED GOODS
69684,CANNED GOODS
54791,CANNED GOODS
8063,CANNED GOODS
68889,CANNED GOODS
20702,CANNED GOODS
8221,CANNED GOODS
23952,CANNED GOODS
10327,CANNED GOODS
61738,CANNED GOODS
38859,CANNED GOODS
64026,CANNED GOODS
60771,CANNED GOODS
64635,CANNED GOODS
7225,CANNED GOODS
71546,CANNED GOODS
61008,CANNED GOODS
18108,CANNED GOODS
13776,CANNED GOODS
58968,CANNED GOODS
56263,CANNED GOODS
39129,CANNED GOODS
72746,CANNED GOODS
53572,CANNED GOODS
66185,CANNED GOODS
35891,CANNED GOODS
71350,CANNED GOODS
73146,CANNED GOODS
81676,CANNED GOODS
48040,CANNED GOODS
1813,CANNED GOODS
